data_captura,programa,categoria,valor_milhar,moeda_origem,descricao,data_referencia
2026-06-07,Livelo,aereo,0,BRL,Indisponível,2026-06-07
2026-06-08,Livelo,aereo,0,BRL,Indisponível,2026-06-08
2026-06-09,Livelo,aereo,0,BRL,Indisponível,2026-06-09
2026-06-10,Livelo,aereo,0,BRL,Indisponível,2026-06-10
2026-06-11,Livelo,aereo,0,BRL,Indisponível,2026-06-11
2026-06-12,Livelo,aereo,0,BRL,Indisponível,2026-06-12
2026-06-15,Livelo,aereo,0,BRL,Indisponível,2026-06-15
2026-06-16,Livelo,aereo,0,BRL,Indisponível,2026-06-16
2026-06-17,Livelo,aereo,0,BRL,Indisponível,2026-06-17
2026-06-18,Livelo,aereo,0,BRL,Indisponível,2026-06-18
2026-06-19,Livelo,aereo,0,BRL,Indisponível,2026-06-19
2026-06-22,Livelo,aereo,0,BRL,Indisponível,2026-06-22
2026-06-23,Livelo,aereo,0,BRL,Indisponível,2026-06-23
2026-06-24,Livelo,aereo,0,BRL,Indisponível,2026-06-24
2026-06-25,Livelo,aereo,0,BRL,Indisponível,2026-06-25
2026-06-26,Livelo,aereo,0,BRL,Indisponível,2026-06-26
2026-06-29,Livelo,aereo,0,BRL,Indisponível,2026-06-29
2026-06-30,Livelo,aereo,0,BRL,Indisponível,2026-06-30
2026-07-01,Livelo,aereo,0,BRL,Indisponível,2026-07-01
2026-07-02,Livelo,aereo,0,BRL,Indisponível,2026-07-02
2026-07-03,Livelo,aereo,0,BRL,Indisponível,2026-07-03
2026-07-06,Livelo,aereo,0,BRL,Indisponível,2026-07-06
2026-07-07,Livelo,aereo,0,BRL,Indisponível,2026-07-07
