data_captura,programa,categoria,valor_milhar,moeda_origem,descricao,data_referencia
2026-06-07,Smiles,aereo,0.0,BRL,Indisponível,2026-06-07
2026-06-08,Smiles,aereo,0.0,BRL,Indisponível,2026-06-08
2026-06-09,Smiles,aereo,0.0,BRL,Indisponível,2026-06-09
2026-06-10,Smiles,aereo,0.0,BRL,Indisponível,2026-06-10
2026-06-11,Smiles,aereo,0.0,BRL,Indisponível,2026-06-11
2026-06-12,Smiles,aereo,0.0,BRL,Indisponível,2026-06-12
2026-06-15,Smiles,aereo,0.0,BRL,Indisponível,2026-06-15
2026-06-16,Smiles,aereo,0.0,BRL,Indisponível,2026-06-16
